pmid;title/abstract;sentence_id;sentence;plant;disease;relation;trigger;e1start;e1end;e2start;e2end
1182944;t;0;Studies on magnesium's mechanism of action in digitalis -induced arrhythmias . ;digitalis;arrhythmias;Cause_of_disease;o;46;55;65;76
1182944;a;0;The mechanism by which magnesium affects digitalis -induced arrhythmias was studied in dogs with and without beta-receptor blockade. ;digitalis;arrhythmias;Cause_of_disease;o;41;50;60;71
1182944;a;5;Magnesium's direct effect on calcium and potassium fluxes across the myocardial cell membrane may be the mechanism of its antiarrhythmic action in digitalis -toxic arrhythmias . ;digitalis;arrhythmias;Cause_of_disease;o;147;156;164;175
1423310;t;0;Inhibitory effect of green tea on the growth of established skin papillomas in mice. ;green tea;skin papillomas;Treatment_of_disease;o;21;30;60;75
1423310;a;0;In 10 separate experiments, mice with established chemically induced or UV light-induced skin papillomas were treated continuously with green tea in the drinking water or with i.p. injections of a green tea polyphenol fraction or (-)-epigallocatechin gallate three times a week for 4-10 weeks. ;green tea;skin papillomas;Negative;o;136;145;89;104
1423310;a;0;In 10 separate experiments, mice with established chemically induced or UV light-induced skin papillomas were treated continuously with green tea in the drinking water or with i.p. injections of a green tea polyphenol fraction or (-)-epigallocatechin gallate three times a week for 4-10 weeks. ;green tea;skin papillomas;Negative;o;136;145;89;104
1423310;a;3;Examination of the data from all ten experiments revealed that complete tumor regression occurred in 14 of 346 papilloma-bearing mice (4%) that were treated with green tea in the drinking water or with i.p. injections of green tea constituents, whereas none of the 220 papilloma-bearing control mice treated with only vehicle exhibited complete tumor regression. ;green tea;tumor;Treatment_of_disease;o;162;171;72;77
1423310;a;3;Examination of the data from all ten experiments revealed that complete tumor regression occurred in 14 of 346 papilloma-bearing mice (4%) that were treated with green tea in the drinking water or with i.p. injections of green tea constituents, whereas none of the 220 papilloma-bearing control mice treated with only vehicle exhibited complete tumor regression. ;green tea;tumor;Negative;o;162;171;72;77
1423310;a;3;Examination of the data from all ten experiments revealed that complete tumor regression occurred in 14 of 346 papilloma-bearing mice (4%) that were treated with green tea in the drinking water or with i.p. injections of green tea constituents, whereas none of the 220 papilloma-bearing control mice treated with only vehicle exhibited complete tumor regression. ;green tea;tumor;Treatment_of_disease;o;162;171;72;77
1423310;a;3;Examination of the data from all ten experiments revealed that complete tumor regression occurred in 14 of 346 papilloma-bearing mice (4%) that were treated with green tea in the drinking water or with i.p. injections of green tea constituents, whereas none of the 220 papilloma-bearing control mice treated with only vehicle exhibited complete tumor regression. ;green tea;tumor;Negative;o;162;171;72;77
1423310;a;4;These observations indicate that oral administration of green tea , i.p. administration of a green tea polyphenol fraction, or i.p. administration of (-)-epigallocatechin gallate inhibited the growth and/or caused the regression of established experimentally induced skin papillomas . ;green tea;skin papillomas;Treatment_of_disease;o;56;65;267;282
1423310;a;4;These observations indicate that oral administration of green tea, i.p. administration of a green tea polyphenol fraction, or i.p. administration of (-)-epigallocatechin gallate inhibited the growth and/or caused the regression of established experimentally induced skin papillomas . ;green tea;skin papillomas;Treatment_of_disease;o;56;65;266;281
1441496;a;5;The consumption of coffee is a self-reinforcing behavior, and caffeine dependence and addiction are common. ;coffee;addiction;Cause_of_disease;x;19;25;86;95
1441496;a;7;Initial trials showing coffee 's association with coronary disease and myocardial infarction have been difficult to reproduce and have many confounding variables. ;coffee;coronary disease;Negative;o;23;29;50;66
1441496;a;7;Initial trials showing coffee 's association with coronary disease and myocardial infarction have been difficult to reproduce and have many confounding variables. ;coffee;myocardial infarction;Negative;o;23;29;71;92
1441496;a;10;At present there is no convincing evidence that caffeine or coffee consumption increases the risk for any solid tumor . ;coffee;solid tumor;Negative;o;60;66;106;117
1466630;a;6;Our data suggest that long-term exposure to hemp dust may cause the development of chronic respiratory symptoms and impairment of ventilatory capacity. ;hemp;respiratory symptoms;Cause_of_disease;o;44;48;91;111
1859018;a;0; Atrial tachyarrhythmias are a common manifestation of digitalis toxicity. ;digitalis;Atrial tachyarrhythmias;Cause_of_disease;o;55;64;1;24
1859018;a;2;Halothane is known to oppose digitalis -induced ventricular arrhythmias . ;digitalis;ventricular arrhythmias;Cause_of_disease;o;29;38;48;71
1859018;a;3;Its effect on digitalis -caused atrial arrhythmias is unknown. ;digitalis;atrial arrhythmias;Cause_of_disease;o;14;23;32;50
1859018;a;5;First, increasing ouabain concentrations would enhance automaticity of SAP compared to the SA node and that such enhanced automaticity could explain digitalis -caused atrial tachyarrhythmias . ;digitalis;atrial tachyarrhythmias;Cause_of_disease;o;149;158;167;190
1859018;a;6;Second, halothane would oppose such enhanced automaticity of SAP, thereby opposing digitalis -caused atrial tachyarrhythmias . ;digitalis;atrial tachyarrhythmias;Cause_of_disease;o;83;92;101;124
1890578;a;1;Both cases proved to be cotton -material-induced granulomas . ;cotton;granulomas;Cause_of_disease;o;24;30;49;59
2215561;t;0; Coffee , caffeine, and cardiovascular disease in men. ;Coffee;cardiovascular disease;Negative;o;1;7;24;46
2215561;a;0;BACKGROUND: For many years, an association between coffee consumption and the risk of coronary heart disease has been suspected. ;coffee;coronary heart disease;Association;o;51;57;86;108
2215561;a;1;Although based on small numbers of end points, a prospective study has suggested a particularly strong association between recent coffee drinking and the incidence of cardiovascular disease . ;coffee;cardiovascular disease;Association;o;130;136;167;189
2215561;a;2;METHODS: We examined prospectively the relation of coffee consumption with the risk of myocardial infarction , need for coronary-artery bypass grafting or angioplasty, and risk of stroke in a cohort of 45,589 U.S. men who were 40 to 75 years old in 1986 and who had no history of cardiovascular disease. ;coffee;myocardial infarction;Negative;o;51;57;87;108
2215561;a;2;METHODS: We examined prospectively the relation of coffee consumption with the risk of myocardial infarction, need for coronary-artery bypass grafting or angioplasty, and risk of stroke in a cohort of 45,589 U.S. men who were 40 to 75 years old in 1986 and who had no history of cardiovascular disease. ;coffee;stroke;Negative;o;51;57;179;185
2215561;a;2;METHODS: We examined prospectively the relation of coffee consumption with the risk of myocardial infarction, need for coronary-artery bypass grafting or angioplasty, and risk of stroke in a cohort of 45,589 U.S. men who were 40 to 75 years old in 1986 and who had no history of cardiovascular disease . ;coffee;cardiovascular disease;Negative;o;51;57;279;301
2215561;a;4;Total coffee consumption was not associated with an increased risk of coronary heart disease or stroke . ;coffee;stroke;Negative;o;6;12;96;102
2215561;a;4;Total coffee consumption was not associated with an increased risk of coronary heart diseas e or stroke. ;coffee;coronary heart diseas;Negative;o;6;12;70;91
2215561;a;5;The age-adjusted relative risk for all cardiovascular disease among participants who drank four or more cups of coffee per day was 1.04 (95 percent confidence intervals, 0.74 to 1.46). ;coffee;cardiovascular disease;Negative;o;112;118;39;61
2215561;a;6;Increasing levels of consumption of caffeinated coffee were not associated with higher risks of cardiovascular disease . ;coffee;cardiovascular disease;Negative;o;48;54;96;118
2215561;a;7;"Higher consumption of decaffeinated coffee , however, was associated with a marginally significant increase in the risk of coronary heart disease (relative risk, 1.63; 95 percent confidence interval, 1.02 to 2.60). ";coffee;coronary heart disease;Cause_of_disease;o;36;42;123;145
